time,x,y
1722679797.805613,327.00,"358.00
"
1722679797.911017,327.00,"358.00
"
1722679798.013655,327.00,"358.00
"
1722679798.1192908,327.00,"358.00
"
1722679798.224137,342.00,"350.00
"
1722679798.326998,342.00,"350.00
"
1722679798.4324028,345.00,"356.00
"
1722679798.541117,345.00,"356.00
"
1722679798.647259,345.00,"356.00
"
1722679798.748168,332.00,"356.00
"
1722679798.853732,332.00,"356.00
"
1722679798.9565198,340.00,"352.00
"
1722679799.0590432,340.00,"352.00
"
1722679799.163588,332.00,"342.00
"
1722679799.2689369,325.00,"358.00
"
1722679799.373523,325.00,"358.00
"
1722679799.478305,330.00,"352.00
"
1722679799.58373,330.00,"352.00
"
1722679799.686951,325.00,"352.00
"
1722679799.794781,325.00,"352.00
"
1722679799.895243,335.00,"350.00
"
1722679799.996387,330.00,"358.00
"
1722679800.1005728,330.00,"358.00
"
1722679800.204014,335.00,"355.00
"
1722679800.309537,335.00,"355.00
"
1722679800.4127119,337.00,"347.00
"
1722679800.5182452,321.00,"356.00
"
1722679800.6194592,321.00,"356.00
"
1722679800.723878,337.00,"350.00
"
1722679800.829113,337.00,"350.00
"
1722679800.929489,327.00,"356.00
"
1722679801.0308712,327.00,"356.00
"
1722679801.136388,327.00,"356.00
"
1722679801.247426,337.00,"352.00
"
1722679801.3511271,337.00,"352.00
"
1722679801.453707,340.00,"352.00
"
1722679801.558845,340.00,"352.00
"
1722679801.664169,332.00,"350.00
"
1722679801.768009,330.00,"366.00
"
1722679801.872503,330.00,"366.00
"
1722679801.973941,337.00,"352.00
"
1722679802.079066,337.00,"352.00
"
1722679802.183657,332.00,"355.00
"
1722679802.2891788,332.00,"355.00
"
1722679802.394683,332.00,"355.00
"
1722679802.499459,332.00,"355.00
"
1722679802.604479,332.00,"355.00
"
1722679802.708647,327.00,"337.00
"
1722679802.8142312,327.00,"337.00
"
1722679802.9189498,325.00,"340.00
"
1722679803.0236359,325.00,"350.00
"
1722679803.128947,325.00,"350.00
"
1722679803.233419,340.00,"342.00
"
1722679803.337211,340.00,"342.00
"
1722679803.441382,332.00,"355.00
"
1722679803.547988,332.00,"355.00
"
1722679803.649916,332.00,"355.00
"
1722679803.7539682,337.00,"347.00
"
1722679803.859314,337.00,"347.00
"
1722679803.9642801,342.00,"350.00
"
1722679804.0677829,342.00,"350.00
"
1722679804.1732512,340.00,"358.00
"
1722679804.275084,340.00,"358.00
"
1722679804.38023,330.00,"347.00
"
1722679804.4857311,330.00,"356.00
"
1722679804.5870159,330.00,"356.00
"
1722679804.6923,335.00,"345.00
"
1722679804.797767,335.00,"345.00
"
1722679804.898942,335.00,"345.00
"
1722679805.003694,342.00,"352.00
"
1722679805.108217,342.00,"352.00
"
1722679805.21016,332.00,"350.00
"
1722679805.3136508,332.00,"350.00
"
1722679805.4188979,332.00,"358.00
"
1722679805.5241,332.00,"358.00
"
1722679805.629589,332.00,"358.00
"
1722679805.731752,330.00,"363.00
"
1722679805.832365,330.00,"363.00
"
1722679805.934377,332.00,"352.00
"
1722679806.037985,332.00,"352.00
"
1722679806.143411,332.00,"352.00
"
1722679806.247063,342.00,"355.00
"
1722679806.347726,342.00,"355.00
"
1722679806.4487739,335.00,"352.00
"
1722679806.554284,335.00,"352.00
"
1722679806.659578,345.00,"352.00
"
1722679806.764241,345.00,"352.00
"
1722679806.8697238,345.00,"352.00
"
1722679806.973314,346.00,"352.00
"
1722679807.078437,346.00,"352.00
"
1722679807.182063,332.00,"358.00
"
1722679807.2873359,332.00,"358.00
"
1722679807.392555,332.00,"358.00
"
1722679807.497698,345.00,"363.00
"
1722679807.60018,345.00,"363.00
"
1722679807.705617,337.00,"352.00
"
1722679807.813764,337.00,"352.00
"
1722679807.919005,345.00,"355.00
"
1722679808.024267,345.00,"355.00
"
1722679808.1264782,345.00,"355.00
"
1722679808.230846,318.00,"345.00
"
